,Substrate(mM),Enzyme(uM),pH,TPP(mM),DMSO(%),TON
MAX,100,20,8,1,50,-1
MIN,1,1,6,0,10,-1
1,100,1,6,0,10,361.5492477
2,100,20,8,1,50,470.0466844
3,50.5,10.5,6,0.5,30,574.3811253
4,50.5,20,7,0.5,30,300.3255051
5,1,1,8,1,50,0
6,100,20,6,0.7,38,816.4654997
7,100,18.1,6,1,18,1377.496163
8,100,18.1,6,0.1,50,669.2349224
9,100,20,6,1,50,565.7075306
10,100,18.1,6,0.4,26,1152.202762
11,100,20,6,1,10,1424.139268
12,100,20,6,0.9,10,1416.504545
13,100,18.1,6,1,10,1573.309498
14,100,20,6,1,14,1461.527435
15,100,20,6,0.8,10,1363.326252
16,90.1,20,6,1,10,1089.241651
17,100,20,6.2,1,10,1169.323566
18,100,16.2,6,1,10,1303.839459
19,90.1,18.1,6,1,10,1139.189279
20,100,18.1,6,0.9,10,1250.655122
21,100,18.1,6.2,1,10,1217.869364
22,90.1,20,6,0.9,10,988.7534561
23,100,20,6.2,0.9,10,1072.11364
24,80.2,20,6,1,10,919.9728993
25,90.1,20,6.2,1,10,1023.917766
