,Substrate(mM),Enzyme(uM),pH,NH4OH(M),DMSO(%),TON
MAX,50,20,11,5,50,-1
MIN,0.1,1,8,0.1,5,-1
1,0.1,1,11,0.1,50,0
2,0.1,20,8,5,5,3.005410039
3,25.05,10.5,9.5,2.58511,25.495,537.2355682
4,50,20,11,5,5,186.1274231
5,50,1,8,0.1,50,0
6,40.02,10.5,10.4,2.55,9.5,212.4187901
7,40.02,12.4,10.4,4.02,27.5,166.6186032
8,40.02,20,10.4,0.59,14,157.438895
9,40.02,1,10.4,4.51,5,157.3376915
10,40.02,16.2,10.4,3.53,32,168.952508
11,25.05,8.6,9.5,1.57,5,578.2921169
12,30.04,8.6,9.5,2.06,5,704.6439618
13,25.05,10.5,9.8,4.02,23,577.4517339
14,30.04,10.5,9.8,2.06,5,519.2446636
15,30.04,12.4,9.8,2.55,14,497.4946494
16,10.08,4.8,8.6,0.59,5,200.4989007
17,15.07,4.8,8.6,1.08,5,457.3000837
18,15.07,4.8,8.6,0.59,5,328.8286738
19,15.07,4.8,8.9,1.08,5,500.6264022
20,10.08,4.8,8.9,1.08,5,350.5441881
